Frequency (Hz),Channel 1 Magnitude (dB)
1000.000000000002,0.03535863149267267
1063.326571637164,0.03604142543474857
1130.663397949641,0.03696702459257399
1202.264434617416,0.03611686719973176
1278.399719463026,0.03672460174356373
1359.356390878528,0.03685797682249027
1445.439770745931,0.03638794650769301
1536.974515935274,0.03677432038840301
1634.305842723141,0.03777076259771137
1737.80082874938,0.03746241940313649
1847.849797422294,0.03890341967299739
1964.867789993472,0.03857687902970704
2089.296130854043,0.03939783378977369
2221.604091955816,0.03665284814012934
2362.290662634467,0.03165375055420161
2511.886431509585,0.03147252873299912
2670.955587558991,0.03689048910507287
2840.098047914219,0.04246269775032964
3019.951720402022,0.04293331459982084
3211.19490936483,0.03601433717449141
3414.548873833608,0.04384898136675729
3630.780547701021,0.04158623379958926
3860.705432153823,0.04166564340099568
4105.190671273087,0.0480277907998675
4365.158322401669,0.04643075016822596
4641.588833612786,0.04600868148404199
4935.524741394816,0.04624459111578293
5248.074602497733,0.04628558439906781
5580.417174769976,0.04760719923455752
5933.805862753293,0.04847597805328532
6309.573444801943,0.0455838064356168
6709.137099554126,0.0338739048340239
7134.003750712579,0.0486799583014202
7585.775750291851,0.04628394278913373
8066.156921766152,0.03518144268416095
8576.958985908963,0.04102191384800478
9120.108393559114,0.04915268253477288
9697.653591082517,0.04793325139556673
10311.77274593057,0.04701266140621572
10964.78196143186,0.05000707044163388
11659.14401179832,0.04927099684608139
12397.47763028945,0.05118725661242074
13182.56738556409,0.05280666718108521
14017.37418346771,0.05258523246072336
14905.04643386197,0.0499548879899998
15848.93192461116,0.04717978793782594
16852.59044750753,0.05087778527624521
17919.80722375336,0.05063575802708567
19054.6071796325,0.03568720918465122
20261.27012621145,0.04867824531996182
21544.34690031884,0.04907692678780427
22908.67652767777,0.05483484562129166
24359.40447292029,0.05184693105240875
25902.00204531325,0.049808418741668
27542.28703338169,0.04786777768226961
29286.4456462524,0.05583314012272757
31141.05584446762,0.05095755478259431
33113.11214825914,0.0489437539746899
35210.05201684524,0.04884045894809114
37439.78389823814,0.05091504985737469
39810.71705534978,0.04894515059194812
42331.79328088216,0.05226684966032242
45012.52062061341,0.04013564243094642
47863.00923226385,0.0504784832044607
50894.00951518099,0.05126593987986433
54116.95265464643,0.04592873785833607
57543.99373371572,0.0409590300071743
61188.05757518225,0.04999828954733534
65062.8874865558,0.04829305288307034
69183.09709189369,0.05009733119279263
73564.22544596421,0.05135551385344764
78222.79563860038,0.05749923718018331
83176.37711026717,0.05570450466694282
88443.65191386007,0.05629851414617349
94044.48517263534,0.05499290140409983
100000.0000000001,0.0501541846648183
106332.6571637163,0.06149018380625221
113066.339794964,0.06089730159015743
120226.4434617414,0.05485241237331082
127839.9719463024,0.06078119488917391
135935.6390878527,0.06164306491700438
144543.977074593,0.05501496245688493
153697.4515935273,0.04654597376845462
163430.5842723139,0.04726315582434675
173780.0828749378,0.05346235868090424
184784.9797422292,0.06004505737504394
196486.778999347,0.06148729728234868
208929.6130854041,0.05909995048141146
222160.4091955814,0.04351542960539968
236229.0662634465,0.05471277245833992
251188.6431509582,0.04982648356499339
267095.5587558988,0.05920307380960796
284009.8047914217,0.05876978065593189
301995.1720402019,0.05959455893398442
321119.4909364826,0.05910025657786239
341454.8873833602,0.05857236549093335
363078.0547701016,0.05573810191220178
386070.5432153813,0.05610186013567221
410519.0671273081,0.05592250062258385
436515.8322401663,0.05016924527721231
464158.8833612779,0.05185745049055285
493552.4741394809,0.04979802030827771
524807.4602497731,0.03084309101668097
558041.7174769967,0.04737633860799206
593380.5862753284,0.03349013918698372
630957.3444801933,0.04218278862378202
670913.7099554116,0.03463761355693125
713400.3750712569,0.03596872731406057
758577.575029184,0.02787004573396215
806615.692176614,0.02554882342757096
857695.8985908942,0.01879982395483642
912010.8393559101,0.01209235666359232
969765.3591082501,0.03345282545803432
1031177.274593055,-0.005432297859162583
1096478.196143186,-0.0245962917891847
1165914.401179833,-0.02619425663621536
1239747.763028945,-0.04104264596579025
1318256.738556408,-0.05505296434018089
1401737.41834677,-0.07273538098775316
1490504.643386197,-0.09162304747471212
1584893.192461115,-0.1202620721641311
1685259.044750752,-0.1389791221218901
1791980.722375334,-0.1678747115533056
1905460.717963247,-0.2008932058542512
2026127.012621144,-0.2380521744796287
2154434.690031885,-0.2773850434492643
2290867.652767773,-0.3225270773202241
2435940.447292028,-0.3745715651614465
2590200.204531326,-0.4529303729557769
2754228.703338167,-0.498476907382435
2928644.564625238,-0.571830526545782
3114105.584446759,-0.6531029685054611
3311311.214825912,-0.74740544023693
3521005.201684522,-0.8504310672348904
3743978.389823812,-0.9670260031016429
3981071.705534974,-1.159759613992743
4233179.328088207,-1.243330989487889
4501252.062061337,-1.404792798252358
4786300.923226386,-1.584267173263796
5089400.95151809,-1.85385820268616
5411695.265464637,-2.071176208062687
5754399.373371567,-2.26564867901634
6118805.75751822,-2.518852240522174
6506288.748655574,-2.835754121673219
6918309.709189363,-3.149331128764969
7356422.544596414,-3.519913375264147
7822279.56386003,-3.909211618008226
8317637.711026709,-4.367145126841608
8844365.191385999,-4.879353269798334
9404448.517263513,-5.617588078735226
10000000,-6.18191911417882
